time_min,cashier_queue,usher_queue,food_queue,cashiers_busy,ushers_busy,servers_busy,total_served,event,moviegoer,wait_time_min
10.6,3,0,0,9,0,9,34,ticket_purchased,45,
10.6,3,0,0,9,1,9,34,join_usher_queue,45,
10.6,2,0,0,10,1,9,34,start_ticket_check,45,
10.6,2,0,0,10,1,9,34,start_purchase,53,
10.65,2,0,0,10,1,8,34,food_received,25,
10.65,2,0,0,10,1,8,35,enter_theater,25,6.05
10.65,2,0,0,10,0,8,35,ticket_checked,45,
10.65,2,0,0,10,0,9,35,join_food_queue,45,
10.65,2,0,0,10,0,9,35,start_food_order,45,
10.7,2,0,0,10,0,8,35,food_received,40,
10.7,2,0,0,10,0,8,36,enter_theater,40,3.1
10.8,2,0,0,10,0,8,36,arrive,56,
10.8,3,0,0,10,0,8,36,join_cashier_queue,56,
11.0,3,0,0,10,0,8,36,arrive,57,
11.0,4,0,0,10,0,8,36,join_cashier_queue,57,
11.0,4,0,0,9,0,8,36,ticket_purchased,51,
11.0,4,0,0,9,1,8,36,join_usher_queue,51,
11.0,3,0,0,10,1,8,36,start_ticket_check,51,
11.0,3,0,0,10,1,8,36,start_purchase,54,
11.0,3,0,0,9,1,8,36,ticket_purchased,42,
11.0,3,1,0,9,1,8,36,join_usher_queue,42,
11.0,2,1,0,10,1,8,36,start_purchase,55,
11.05,2,1,0,10,1,7,36,food_received,36,
11.05,2,1,0,10,1,7,37,enter_theater,36,4.25
11.05,2,1,0,10,0,7,37,ticket_checked,51,
11.05,2,1,0,10,0,7,38,enter_theater,51,1.25
11.05,2,0,0,10,1,7,38,start_ticket_check,42,
11.1,2,0,0,10,0,7,38,ticket_checked,42,
11.1,2,0,0,10,0,7,39,enter_theater,42,3.1
11.2,2,0,0,10,0,7,39,arrive,58,
11.2,3,0,0,10,0,7,39,join_cashier_queue,58,
11.2,3,0,0,9,0,7,39,ticket_purchased,52,
11.2,3,0,0,9,1,7,39,join_usher_queue,52,
11.2,2,0,0,10,1,7,39,start_ticket_check,52,
11.2,2,0,0,10,1,7,39,start_purchase,56,
11.25,2,0,0,10,0,7,39,ticket_checked,52,
11.25,2,0,0,10,0,8,39,join_food_queue,52,
11.25,2,0,0,10,0,8,39,start_food_order,52,
11.4,2,0,0,10,0,8,39,arrive,59,
11.4,3,0,0,10,0,8,39,join_cashier_queue,59,
11.45,3,0,0,10,0,7,39,food_received,29,
11.45,3,0,0,10,0,7,40,enter_theater,29,6.05
11.6,3,0,0,10,0,7,40,arrive,60,
11.6,4,0,0,10,0,7,40,join_cashier_queue,60,
11.6,4,0,0,9,0,7,40,ticket_purchased,44,
11.6,4,0,0,9,1,7,40,join_usher_queue,44,
11.6,3,0,0,10,1,7,40,start_ticket_check,44,
11.6,3,0,0,10,1,7,40,start_purchase,57,
11.6,3,0,0,9,1,7,40,ticket_purchased,49,
11.6,3,1,0,9,1,7,40,join_usher_queue,49,
11.6,2,1,0,10,1,7,40,start_purchase,58,
11.65,2,1,0,10,1,6,40,food_received,20,
11.65,2,1,0,10,1,6,41,enter_theater,20,8.05
11.65,2,1,0,10,1,5,41,food_received,39,
11.65,2,1,0,10,1,5,42,enter_theater,39,4.25
